species,image_name,area,diameter,circularity,gray_firstorder_Mean,gray_firstorder_Variance,gray_firstorder_Skewness,gray_firstorder_Kurtosis
Eucalyptus_cinerea,H36_20221009_0011_2.jpg,608662,1062,0.7416585497519385,104.42635562338432,400.4943990563763,0.0058681060434768,3.6877128987397816
Eucalyptus_cinerea,H36_20221009_0011_3.jpg,679891,1059,0.7555984028160341,104.4972458320552,277.762716773204,0.1363292666390446,4.11412521853222
Eucalyptus_cinerea,H36_20221009_0012_2.jpg,641057,1044,0.8248528048842912,102.4159726524678,312.13676223744096,-0.1399820177420377,3.5732347625037395
Eucalyptus_cinerea,H36_20221009_0012_3.jpg,641194,1040,0.786713970678022,102.75115047442966,294.2977300396567,0.1302267643963986,3.881962863982149
Eucalyptus_cinerea,H36_20221009_0013_2.jpg,738007,1059,0.8323830032967281,106.97180016688372,377.1835598936487,-0.0726288463533123,4.34844188149912
Eucalyptus_cinerea,H36_20221009_0013_3.jpg,583736,1030,0.7755183088293972,110.64557701971428,437.3763756066133,0.064375664431522,3.3729594385860624
Eucalyptus_cinerea,H36_20221009_0014_2.jpg,761271,1071,0.8382577026838473,105.38800353993904,265.93172668050795,-0.0153593185014809,4.354831957747857
Eucalyptus_cinerea,H36_20221009_0014_3.jpg,700983,1065,0.8208761652844057,105.85645133964228,235.8956524365019,-0.0945671460402474,4.506863978669782
Eucalyptus_cinerea,H36_20221009_0015_2.jpg,745975,1049,0.8535490726084654,107.86764678335658,248.38248583720176,0.161554526435519,4.809623479766431
Eucalyptus_cinerea,H36_20221009_0015_3.jpg,645288,1044,0.8107674225802762,108.74193184225706,307.03501422554183,0.0821466604305499,4.066617044235204
Eucalyptus_dives,H46_20221013_0001_2.jpg,244417,1024,0.5310739829654456,75.03750656884351,289.6613030019948,1.0347695090574829,6.259128617376788
Eucalyptus_dives,H46_20221013_0001_3.jpg,344493,1023,0.5969879975332002,72.23832447585626,291.80050879046524,1.1679483812696814,6.783339204300233
Eucalyptus_dives,H46_20221013_0002_2.jpg,232051,1023,0.4988927388954335,74.57788530834964,334.9407577230757,1.0709163584455,6.251209990001913
Eucalyptus_dives,H46_20221013_0002_3.jpg,131207,1024,0.3221455893507173,79.30472395096831,313.5471717466432,1.223892544433039,6.602648490260519
Eucalyptus_dives,H46_20221013_0003_2.jpg,204476,1027,0.4513288872321013,77.68067455857381,305.078868816648,1.1254977671748323,6.463323953630801
Eucalyptus_dives,H46_20221013_0003_3.jpg,149438,1029,0.3472244375501105,74.86266770328729,373.5898354924535,1.3931714750727098,6.9917948794352025
Eucalyptus_dives,H46_20221013_0004_2.jpg,212697,1025,0.4580944702909058,71.45958298831862,275.6887455837067,1.2852284307213797,7.278298444012764
Eucalyptus_dives,H46_20221013_0004_3.jpg,220641,1023,0.4536675389220162,76.27096750915553,338.1450373980712,1.0584063171526628,5.945954813274687
